user_id,item_id,rating,timestamp
0,28,4,0
0,20,3,1
0,24,1,2
0,16,5,3
0,26,3,4
0,11,3,5
1,15,2,100
1,13,4,101
1,16,1,102
1,12,4,103
1,22,4,104
1,10,2,105
2,26,4,200
2,21,2,201
2,5,5,202
2,16,3,203
2,28,2,204
2,14,5,205
3,4,4,300
3,13,4,301
3,10,1,302
3,9,2,303
3,27,4,304
3,3,5,305
4,27,4,400
4,4,3,401
4,22,4,402
4,7,2,403
4,19,4,404
4,6,3,405
5,26,3,500
5,3,3,501
5,0,1,502
5,19,3,503
5,13,4,504
5,29,2,505
6,24,2,600
6,28,3,601
6,11,4,602
6,5,1,603
6,25,3,604
6,26,3,605
7,9,4,700
7,8,1,701
7,21,5,702
7,10,3,703
7,25,5,704
7,4,1,705
8,9,5,800
8,19,2,801
8,18,5,802
8,10,3,803
8,11,4,804
8,8,3,805
9,6,4,900
9,26,2,901
9,27,4,902
9,25,2,903
9,29,5,904
9,13,3,905
